X1,X2,X3,X4,X5,X6,X7,X8,Y
0.75,762.75,290.52,198.09,3.69,2.91,0.32,0.92,47.57
0.94,758.79,359.81,201.55,4.92,4.93,0.34,4.48,67.8
0.87,529.22,312.9,161.09,4.04,3.46,0.35,1.31,43.72
0.81,619.33,328.92,155.04,6.59,2.71,0.21,2.04,64.39
0.85,558.62,403.5,185.16,6.93,4.34,0.09,0.15,58.43
0.63,514.97,360.86,146.94,5.33,4.2,0.02,3.84,61.87
0.97,659.11,299.14,139.93,5.9,3.32,0.26,2.87,74.03
0.69,698.47,385.8,199.75,3.54,4.56,0.37,3.83,62.59
0.63,607.74,274.66,197.8,3.52,3.47,0.19,2.99,31.31
0.92,516.2,396.54,159.99,4.69,3.13,0.2,2.85,62.91
0.91,556.16,283.65,162.66,4.98,3.13,0,0.33,41.6
0.7,710.77,411.68,190.24,5.69,3.11,0.05,0.99,71.85
0.78,696.57,307.36,180.74,6.66,4.05,0.08,3.17,60.97
0.78,621.63,285.47,113.48,5.56,2.64,0,0.81,72.44
0.95,714.28,303.33,189.32,4.04,3.19,0.09,0.66,47.93
0.87,744.62,298.88,185.59,3.61,4.43,0.2,0.49,55.53
0.81,517.5,344.77,177.91,5.23,2.8,0.26,4.31,43.91
0.68,782.54,344.78,196.81,5.12,4.72,0.11,0.41,63.56
0.88,664.05,344.47,116.36,4.96,3.18,0.02,0.76,87.87
0.96,636.59,293.6,115.12,3.51,2.1,0.26,3.87,79.68
0.76,571.51,266.2,130.44,5.8,4.82,0.11,4.06,59.18
0.64,590.13,367.46,213.86,6.07,4.11,0.01,2.39,40.44
0.71,549.81,414.5,161.8,5.31,4.2,0.02,3.62,71.49
0.72,702.89,296.47,131.1,3.83,2.83,0.28,4.13,80.35
0.68,730.64,301.03,212.99,4.04,3.73,0.15,0.81,38.82
0.83,746.2,245.33,196.4,6.5,3.21,0.07,1.83,45.87
0.69,553.3,410.37,213.16,6.43,2.45,0.18,3.45,48.41
0.94,763.76,295.15,125.2,4.7,4.08,0.16,2.17,88.5
0.71,790.63,389.6,197.24,4.2,4.58,0.15,0.88,76.77
0.66,515.51,293.6,138.05,5.05,3.25,0.05,0.03,49.14
0.79,732.9,295.48,149.65,6.49,2.7,0.06,4,80.51
0.71,571.91,325.62,139.48,4.69,3.78,0.04,2.3,62.79
0.84,634.97,298.54,204.78,6.45,2.37,0.27,0.19,31.08
0.71,605.6,271.23,185.81,3.73,3.01,0.17,2.06,34.08
0.7,677.81,313.3,188.05,6.1,2.61,0.1,2.48,50.43
0.7,670.23,311.08,114.72,6.07,2.87,0.11,2.86,87.56
0.65,792.1,332.77,169.67,4.41,4.81,0.13,2.17,75.76
0.69,785.27,300.65,174.75,5.01,2.96,0.02,0.86,66.9
0.87,655.66,272.34,149.18,5.38,4.53,0.38,3.04,63.15
0.73,622.16,253.05,194.36,6.76,4.53,0.08,2.71,32.79
0.89,725.04,345.88,147.8,6.93,3.58,0.01,3.76,88.28
0.8,652.24,329.92,215.09,6.69,3.76,0.17,2.41,40.75
0.86,800.39,360.52,140.09,6.06,3,0.3,2.44,103.15
0.84,620.23,305.66,213.06,3.76,3.71,0.37,3.34,31.09
0.66,712.57,334.44,142.28,6.35,4.05,0.12,2.97,86.5
0.63,559.29,357.88,158.88,3.87,2.21,0.27,2.48,56.54
0.94,594.24,262.34,131.33,6.23,3.51,0.3,3.65,63.05
0.65,692.93,268.82,156.68,6.04,4.47,0.4,2.99,65.83
0.67,748.46,384.66,146.56,5.76,4.42,0.03,4.78,98.39
0.67,689.94,395.35,205.68,4.19,3.33,0.08,3.54,57.99
0.81,619.53,317.7,202.02,4.95,2.24,0.09,3.99,39.74
0.67,762.75,337.82,183.95,3.98,2.14,0,2.26,65.73
0.89,697.06,245.21,150.43,5.43,2.23,0.16,4.8,60.7
0.69,751.31,279.41,190.19,6.87,4.25,0.12,1.03,56.64
0.79,635.49,378.86,125.59,6.91,2.57,0.29,1.42,91.5
0.71,677.21,410.34,191,3.89,2.57,0.09,4.79,68.97
0.77,623.19,312.16,119.9,5.66,4.57,0.12,1.52,78.83
0.74,766.45,396.08,121.76,4.23,3.81,0.14,4.35,109.38
0.95,524.2,299.65,172.46,4.06,3.09,0.07,2.19,34.56
0.89,723.15,383.85,146.17,6.82,2.55,0.18,3.79,94.11
0.77,580.44,352.03,215.24,6.35,4.46,0.37,0.89,32.35
0.64,633.03,245.02,165.56,6.06,2.74,0.18,1.53,39.95
0.76,599.62,248.48,135.49,5.04,2,0.28,1.99,50.72
0.67,698.39,406.05,146.41,5.37,2.97,0.05,3.07,96.77
0.84,549.83,364.68,207.03,3.79,3.25,0.06,0.7,34.89
0.94,765.84,395.04,185.23,4.69,3.69,0.06,3.98,84.02
0.76,606.47,397.52,164.93,6.9,2.41,0.28,1.87,75.17
0.79,539.98,260.88,124.11,4.88,3.21,0.14,0.39,53.89
0.76,575.68,327.35,172.81,5.22,3.57,0.37,1.45,47.76
0.86,748.46,322.31,110.44,4.01,4.99,0.2,1.75,98.82
0.83,686.84,317.81,211.7,5.74,3.23,0.11,2.96,43.46
0.63,658.86,293.19,134.77,4.13,3.02,0.27,2.82,71.91
0.74,620.81,385.54,174.73,4.02,3.55,0.01,2.49,63.48
0.85,628.03,402.48,169.34,3.78,2.51,0.22,0.92,69
0.88,787.16,342.45,196.53,5.21,3.6,0.26,2.85,66.7
0.91,696.62,292.72,140.87,4.33,2.08,0.21,4.33,72.63
0.72,631.6,331.82,126.33,5.98,4.05,0.14,3.48,82.85
0.84,536.1,401.65,126.57,3.89,2.77,0.32,2.54,81.96
0.68,554.78,245.22,141.18,5.14,2.76,0.25,1.68,46.59
0.74,578.24,314.94,136.03,4.23,3.21,0.38,2.23,62.73
0.98,547.74,307.33,204.39,5.61,4.08,0.3,2.7,31.62
0.97,672.52,308.31,163.23,4.3,3.67,0.23,0.06,61.27
0.95,719.86,323.41,163.88,4.7,4.77,0.09,1.5,72.5
0.93,808.3,346.56,156.76,6.93,2.4,0.34,3.05,95.11
0.91,703.6,256.87,142.55,6.56,3.9,0.3,4.69,70.92
0.93,795.58,284.48,189.22,4.67,3.91,0.23,0.57,60.8
0.75,691.86,262.08,210.2,5.52,3.47,0.15,4.26,34.57
0.78,680.39,310.97,197.09,6.24,3.73,0.09,2.52,52.88
0.69,762.62,364.41,216.37,3.99,4.23,0.07,0.29,54.74
0.88,721.66,273.02,162.57,6.2,3.96,0.3,4.54,63.94
0.85,624.54,350.05,119.74,5.97,4.98,0.06,0.89,85.68
0.75,525.79,304.26,139.17,6.39,3.83,0.2,4.54,59.18
0.85,670.67,365.64,151.6,4.59,2.58,0.23,4.63,84.08
0.97,618.72,326.19,119.05,4.92,2.84,0.32,4.38,86.34
0.75,641.85,289.46,166.24,5.4,3.59,0.31,4.85,56.23
0.93,595.78,379.13,171.54,6.04,4.64,0.02,1.88,67.45
0.98,608.28,298.32,155.22,6.92,3.28,0.25,2.92,58.4
0.7,567.82,352.46,136.53,4.43,4.84,0.18,0.77,71.63
0.62,683.31,386.06,117.39,4.52,2.63,0.32,0.2,97.02
0.88,670.98,361.34,157.96,6.15,2.04,0.2,1.64,75.49
0.93,723.24,387.52,182.87,6.33,4.81,0.14,0.13,76.79
0.93,614.19,383.63,114.16,3.93,4.54,0.04,1.27,91.89
0.81,586.61,363.49,204.65,5.12,3.48,0.13,1.54,39.69
0.91,745.71,372.06,127.32,6.55,4.06,0.15,1.39,102.68
0.84,537.65,329.14,121.72,6.9,3.92,0.13,4.5,79.17
0.82,610.25,272.42,139.45,5.15,3.82,0.04,0.74,59.65
0.77,596.85,341.45,148.92,6.51,4.89,0.03,1.58,69.39
0.97,752.85,248.95,164.26,3.75,3.94,0.11,2.66,59.68
0.78,783.98,319.42,159.48,5.69,2.54,0.05,1.12,79.13
0.83,769.66,313.98,219.22,4.23,3.29,0.34,2.75,46.03
0.68,636.39,389.93,133.59,6.39,3.33,0.38,0.64,90.46
0.88,643.1,306.98,200.17,4.79,3.37,0.05,2.69,41.05
0.93,756.37,350.55,201.91,4.66,4.56,0.13,2.24,61.37
0.73,658.43,362.93,123.83,6.29,3.84,0.19,4.57,95.02
0.71,606.38,370.69,202.49,6.73,3.79,0.14,4.74,56.21
0.95,540.11,288.15,171.53,6.24,3.97,0.09,4.63,42.91
0.67,772.64,353.98,199.58,4.78,4.18,0.08,2.22,65.25
0.89,610.37,306.67,216.47,4.27,3.7,0.01,2.67,27.73
0.81,745.49,363.15,139.84,3.55,3,0.25,0.06,90.32
0.65,585,278.3,189.2,5.86,3.58,0.09,4.52,35.66
0.85,730.14,350.54,205.43,6.3,3.95,0.24,1.21,61.66
0.88,733.45,394.99,186.59,5.34,4.95,0.03,2.65,75.57
0.89,602.48,389.88,210.32,6.75,3.84,0.39,0.32,51.7
0.87,664.01,274.18,207.69,3.79,4.64,0.27,4.3,34.37
